source_qualified_name,source_name,source_type,relationship,target_qualified_name,target_name,target_type
CAP-FC,Financial Crime Detection,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-SANCT,Sanctions Screening,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-AUTH,Strong Authentication,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CAP-CAPITAL,Capital & RWA,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-COND,Conduct & Fair Value,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
SYS-CORE,Core Banking Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-ACCT,Account Data,DataDomain
SYS-CORE,Core Banking Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-TXN,Transactions,DataDomain
SYS-CORE,Core Banking Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
SYS-KYC,KYC / CDD Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-KYC,KYC / CDD Data,DataDomain
SYS-KYC,KYC / CDD Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
SYS-SANCT,Sanctions Screening,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
SYS-SANCT,Sanctions Screening,System,SYSTEM_STORES_DATA_DOMAIN,DD-PAYMT,Payments Data,DataDomain
SYS-TM,Transaction Monitoring,System,SYSTEM_STORES_DATA_DOMAIN,DD-TXN,Transactions,DataDomain
SYS-TM,Transaction Monitoring,System,SYSTEM_STORES_DATA_DOMAIN,DD-PAYMT,Payments Data,DataDomain
SYS-PAY,Payment Gateway,System,SYSTEM_STORES_DATA_DOMAIN,DD-PAYMT,Payments Data,DataDomain
SYS-PAY,Payment Gateway,System,SYSTEM_STORES_DATA_DOMAIN,DD-TXN,Transactions,DataDomain
SYS-CARD,Card Management,System,SYSTEM_STORES_DATA_DOMAIN,DD-TXN,Transactions,DataDomain
SYS-CARD,Card Management,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
SYS-LOS,Loan Origination,System,SYSTEM_STORES_DATA_DOMAIN,DD-CREDIT,Credit & Risk Data,DataDomain
SYS-LOS,Loan Origination,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
SYS-CREDIT,Credit Risk Engine,System,SYSTEM_STORES_DATA_DOMAIN,DD-CREDIT,Credit & Risk Data,DataDomain
SYS-CREDIT,Credit Risk Engine,System,SYSTEM_STORES_DATA_DOMAIN,DD-MODEL,AI / Model Data,DataDomain
SYS-LAKE,Data Lakehouse (Fabric),System,SYSTEM_STORES_DATA_DOMAIN,DD-REF,Reference Data,DataDomain
SYS-LAKE,Data Lakehouse (Fabric),System,SYSTEM_STORES_DATA_DOMAIN,DD-TXN,Transactions,DataDomain
SYS-LAKE,Data Lakehouse (Fabric),System,SYSTEM_STORES_DATA_DOMAIN,DD-CREDIT,Credit & Risk Data,DataDomain
SYS-LAKE,Data Lakehouse (Fabric),System,SYSTEM_STORES_DATA_DOMAIN,DD-FIN,Financial / GL Data,DataDomain
SYS-LAKE,Data Lakehouse (Fabric),System,SYSTEM_STORES_DATA_DOMAIN,DD-MODEL,AI / Model Data,DataDomain
SYS-REGRPT,Regulatory Reporting,System,SYSTEM_STORES_DATA_DOMAIN,DD-FIN,Financial / GL Data,DataDomain
SYS-REGRPT,Regulatory Reporting,System,SYSTEM_STORES_DATA_DOMAIN,DD-CREDIT,Credit & Risk Data,DataDomain
SYS-REGRPT,Regulatory Reporting,System,SYSTEM_STORES_DATA_DOMAIN,DD-TRADE,Trade & Position Data,DataDomain
SYS-CRM,CRM,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
SYS-TRADE,Trading & Surveillance,System,SYSTEM_STORES_DATA_DOMAIN,DD-TRADE,Trade & Position Data,DataDomain
SYS-GL,General Ledger / Finance,System,SYSTEM_STORES_DATA_DOMAIN,DD-FIN,Financial / GL Data,DataDomain
SYS-IAM,Identity & Access Mgmt,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
SYS-IAM,Identity & Access Mgmt,System,SYSTEM_STORES_DATA_DOMAIN,DD-REF,Reference Data,DataDomain
SYS-AIP,AI / ML Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-MODEL,AI / Model Data,DataDomain
SYS-AIP,AI / ML Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-CREDIT,Credit & Risk Data,DataDomain
SYS-AIP,AI / ML Platform,System,SYSTEM_STORES_DATA_DOMAIN,DD-CUSTPII,Customer PII,DataDomain
CTL-CDD-1,Identity Verification & KYC,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-KYC,KYC / CDD Platform,System
CTL-CDD-1,Identity Verification & KYC,Control,CONTROL_REALIZES_CAPABILITY,CAP-FC,Financial Crime Detection,Capability
CTL-CDD-1,Identity Verification & KYC,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CDD-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CDD-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CDD-1,Identity Verification & KYC,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CDD-1-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-CDD-1-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-CDD-2,Beneficial Ownership Checks,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-KYC,KYC / CDD Platform,System
CTL-CDD-2,Beneficial Ownership Checks,Control,CONTROL_REALIZES_CAPABILITY,CAP-FC,Financial Crime Detection,Capability
CTL-CDD-2,Beneficial Ownership Checks,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CDD-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CDD-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CDD-2,Beneficial Ownership Checks,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CDD-2-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-CDD-2-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-CDD-3,Ongoing Customer Risk Rating,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-KYC,KYC / CDD Platform,System
CTL-CDD-3,Ongoing Customer Risk Rating,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-TM,Transaction Monitoring,System
CTL-CDD-3,Ongoing Customer Risk Rating,Control,CONTROL_REALIZES_CAPABILITY,CAP-FC,Financial Crime Detection,Capability
CTL-CDD-3,Ongoing Customer Risk Rating,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CDD-3-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CDD-3-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CDD-3,Ongoing Customer Risk Rating,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CDD-3-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-CDD-3-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-SAN-1,Real-time Payment Screening,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-SANCT,Sanctions Screening,System
CTL-SAN-1,Real-time Payment Screening,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-PAY,Payment Gateway,System
CTL-SAN-1,Real-time Payment Screening,Control,CONTROL_REALIZES_CAPABILITY,CAP-SANCT,Sanctions Screening,Capability
CTL-SAN-1,Real-time Payment Screening,Control,CONTROL_EVIDENCED_BY,EVD-CTL-SAN-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-SAN-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-SAN-2,Watchlist Management,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-SANCT,Sanctions Screening,System
CTL-SAN-2,Watchlist Management,Control,CONTROL_REALIZES_CAPABILITY,CAP-SANCT,Sanctions Screening,Capability
CTL-SAN-2,Watchlist Management,Control,CONTROL_EVIDENCED_BY,EVD-CTL-SAN-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-SAN-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TM-1,Behavioural Monitoring Scenarios,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-TM,Transaction Monitoring,System
CTL-TM-1,Behavioural Monitoring Scenarios,Control,CONTROL_REALIZES_CAPABILITY,CAP-FC,Financial Crime Detection,Capability
CTL-TM-1,Behavioural Monitoring Scenarios,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TM-1-EV-SAR,SAR Filing Log,Evidence
EVD-CTL-TM-1-EV-SAR,SAR Filing Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TM-1,Behavioural Monitoring Scenarios,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TM-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-TM-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TM-2,Alert Triage & Investigation,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-TM,Transaction Monitoring,System
CTL-TM-2,Alert Triage & Investigation,Control,CONTROL_REALIZES_CAPABILITY,CAP-FC,Financial Crime Detection,Capability
CTL-TM-2,Alert Triage & Investigation,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TM-2-EV-SAR,SAR Filing Log,Evidence
EVD-CTL-TM-2-EV-SAR,SAR Filing Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TM-2,Alert Triage & Investigation,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TM-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-TM-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TM-3,Suspicious Activity Reporting (SAR),Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-TM,Transaction Monitoring,System
CTL-TM-3,Suspicious Activity Reporting (SAR),Control,CONTROL_REALIZES_CAPABILITY,CAP-FC,Financial Crime Detection,Capability
CTL-TM-3,Suspicious Activity Reporting (SAR),Control,CONTROL_EVIDENCED_BY,EVD-CTL-TM-3-EV-SAR,SAR Filing Log,Evidence
EVD-CTL-TM-3-EV-SAR,SAR Filing Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TM-3,Suspicious Activity Reporting (SAR),Control,CONTROL_EVIDENCED_BY,EVD-CTL-TM-3-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-TM-3-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-OR-1,Important Business Service Mapping,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CORE,Core Banking Platform,System
CTL-OR-1,Important Business Service Mapping,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-PAY,Payment Gateway,System
CTL-OR-1,Important Business Service Mapping,Control,CONTROL_REALIZES_CAPABILITY,CAP-RES,Operational Resilience,Capability
CTL-OR-1,Important Business Service Mapping,Control,CONTROL_EVIDENCED_BY,EVD-CTL-OR-1-EV-BCP,Resilience Test Report,Evidence
EVD-CTL-OR-1-EV-BCP,Resilience Test Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CTL-OR-2,Impact Tolerances & Scenario Testing,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CORE,Core Banking Platform,System
CTL-OR-2,Impact Tolerances & Scenario Testing,Control,CONTROL_REALIZES_CAPABILITY,CAP-RES,Operational Resilience,Capability
CTL-OR-2,Impact Tolerances & Scenario Testing,Control,CONTROL_EVIDENCED_BY,EVD-CTL-OR-2-EV-BCP,Resilience Test Report,Evidence
EVD-CTL-OR-2-EV-BCP,Resilience Test Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CTL-OR-3,ICT Continuity & Recovery,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-OR-3,ICT Continuity & Recovery,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CORE,Core Banking Platform,System
CTL-OR-3,ICT Continuity & Recovery,Control,CONTROL_REALIZES_CAPABILITY,CAP-RES,Operational Resilience,Capability
CTL-OR-3,ICT Continuity & Recovery,Control,CONTROL_EVIDENCED_BY,EVD-CTL-OR-3-EV-BCP,Resilience Test Report,Evidence
EVD-CTL-OR-3-EV-BCP,Resilience Test Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CTL-IC-1,ICT Incident Detection & Response,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-IC-1,ICT Incident Detection & Response,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-IC-1,ICT Incident Detection & Response,Control,CONTROL_REALIZES_CAPABILITY,CAP-INC,Incident Management,Capability
CTL-IC-1,ICT Incident Detection & Response,Control,CONTROL_EVIDENCED_BY,EVD-CTL-IC-1-EV-INCIDENT,Incident Register,Evidence
EVD-CTL-IC-1-EV-INCIDENT,Incident Register,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CTL-IC-1,ICT Incident Detection & Response,Control,CONTROL_EVIDENCED_BY,EVD-CTL-IC-1-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-IC-1-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-IC-2,Major Incident Regulatory Notification,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-IC-2,Major Incident Regulatory Notification,Control,CONTROL_REALIZES_CAPABILITY,CAP-INC,Incident Management,Capability
CTL-IC-2,Major Incident Regulatory Notification,Control,CONTROL_EVIDENCED_BY,EVD-CTL-IC-2-EV-INCIDENT,Incident Register,Evidence
EVD-CTL-IC-2-EV-INCIDENT,Incident Register,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CTL-IC-2,Major Incident Regulatory Notification,Control,CONTROL_EVIDENCED_BY,EVD-CTL-IC-2-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-IC-2-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-IC-3,Threat-Led Penetration Testing,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-IC-3,Threat-Led Penetration Testing,Control,CONTROL_REALIZES_CAPABILITY,CAP-INC,Incident Management,Capability
CTL-IC-3,Threat-Led Penetration Testing,Control,CONTROL_EVIDENCED_BY,EVD-CTL-IC-3-EV-INCIDENT,Incident Register,Evidence
EVD-CTL-IC-3-EV-INCIDENT,Incident Register,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CTL-IC-3,Threat-Led Penetration Testing,Control,CONTROL_EVIDENCED_BY,EVD-CTL-IC-3-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-IC-3-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-TP-1,Critical Provider Register,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-TP-1,Critical Provider Register,Control,CONTROL_REALIZES_CAPABILITY,CAP-TPR,Third-Party / ICT Dependency,Capability
CTL-TP-1,Critical Provider Register,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TP-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-TP-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TP-2,Concentration & Exit Strategy,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-TP-2,Concentration & Exit Strategy,Control,CONTROL_REALIZES_CAPABILITY,CAP-TPR,Third-Party / ICT Dependency,Capability
CTL-TP-2,Concentration & Exit Strategy,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TP-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-TP-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CY-1,Security Monitoring & SIEM,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-CY-1,Security Monitoring & SIEM,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-CY-1,Security Monitoring & SIEM,Control,CONTROL_REALIZES_CAPABILITY,CAP-CYBER,Cyber Security,Capability
CTL-CY-1,Security Monitoring & SIEM,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CY-1-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-CY-1-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-CY-1,Security Monitoring & SIEM,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CY-1-EV-ACCESS,Access Review,Evidence
EVD-CTL-CY-1-EV-ACCESS,Access Review,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CTL-CY-2,Vulnerability Management,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-CY-2,Vulnerability Management,Control,CONTROL_REALIZES_CAPABILITY,CAP-CYBER,Cyber Security,Capability
CTL-CY-2,Vulnerability Management,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CY-2-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-CY-2-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-CY-2,Vulnerability Management,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CY-2-EV-ACCESS,Access Review,Evidence
EVD-CTL-CY-2-EV-ACCESS,Access Review,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CTL-AC-1,Role-Based Access & Least Privilege,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-AC-1,Role-Based Access & Least Privilege,Control,CONTROL_REALIZES_CAPABILITY,CAP-AC,Access Control,Capability
CTL-AC-1,Role-Based Access & Least Privilege,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AC-1-EV-ACCESS,Access Review,Evidence
EVD-CTL-AC-1-EV-ACCESS,Access Review,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CTL-AC-2,Privileged Access Reviews,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-AC-2,Privileged Access Reviews,Control,CONTROL_REALIZES_CAPABILITY,CAP-AC,Access Control,Capability
CTL-AC-2,Privileged Access Reviews,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AC-2-EV-ACCESS,Access Review,Evidence
EVD-CTL-AC-2-EV-ACCESS,Access Review,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CTL-CAP-1,RWA Calculation Engine,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CREDIT,Credit Risk Engine,System
CTL-CAP-1,RWA Calculation Engine,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-REGRPT,Regulatory Reporting,System
CTL-CAP-1,RWA Calculation Engine,Control,CONTROL_REALIZES_CAPABILITY,CAP-CAPITAL,Capital & RWA,Capability
CTL-CAP-1,RWA Calculation Engine,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CAP-1-EV-CAPREC,Capital Calc Reconciliation,Evidence
EVD-CTL-CAP-1-EV-CAPREC,Capital Calc Reconciliation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CAP-1,RWA Calculation Engine,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CAP-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CAP-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CAP-2,Capital Adequacy Reporting,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-REGRPT,Regulatory Reporting,System
CTL-CAP-2,Capital Adequacy Reporting,Control,CONTROL_REALIZES_CAPABILITY,CAP-CAPITAL,Capital & RWA,Capability
CTL-CAP-2,Capital Adequacy Reporting,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CAP-2-EV-CAPREC,Capital Calc Reconciliation,Evidence
EVD-CTL-CAP-2-EV-CAPREC,Capital Calc Reconciliation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
